Comp1-1	Comp1-2	Comp1-3	Mix1	Comp2-1	Comp2-2	Comp2-3	Mix2
0.00000000	0.00068386	0.00006191	29.00000000	0.00000000	0.00070031	0.00004691	79.00000000
0.00000000	0.00067526	0.00006153	31.00000000	0.00000000	0.00069145	0.00004651	71.00000000
0.00000000	0.00066678	0.00006116	29.00000000	0.00000000	0.00068271	0.00004612	70.00000000
0.00000000	0.00065842	0.00006080	24.00000000	0.00000000	0.00067409	0.00004575	53.00000000
0.00000000	0.00065017	0.00006046	29.00000000	0.00000000	0.00066558	0.00004538	71.00000000
0.00000000	0.00064203	0.00006013	26.00000000	0.00000000	0.00065718	0.00004503	71.00000000
0.00000000	0.00063400	0.00005981	21.00000000	0.00000000	0.00064890	0.00004470	68.00000000
0.00000000	0.00062608	0.00005951	36.00000000	0.00000000	0.00064072	0.00004437	69.00000000
0.00000000	0.00061827	0.00005921	24.00000000	0.00000000	0.00063266	0.00004406	54.00000000
0.00000000	0.00061057	0.00005893	23.00000000	0.00000000	0.00062470	0.00004376	42.00000000
0.00000000	0.00060297	0.00005865	25.00000000	0.00000000	0.00061685	0.00004347	49.00000000
0.00000000	0.00059547	0.00005839	30.00000000	0.00000000	0.00060910	0.00004318	51.00000000
0.00000000	0.00058808	0.00005813	21.00000000	0.00000000	0.00060146	0.00004291	57.00000000
0.00000000	0.00058078	0.00005788	30.00000000	0.00000000	0.00059392	0.00004265	74.00000000
0.00000000	0.00057359	0.00005765	16.00000000	0.00000000	0.00058647	0.00004240	58.00000000
0.00000000	0.00056649	0.00005742	23.00000000	0.00000000	0.00057913	0.00004216	54.00000000
0.00000000	0.00055949	0.00005720	23.00000000	0.00000000	0.00057189	0.00004192	58.00000000
0.00000000	0.00055259	0.00005698	26.00000000	0.00000000	0.00056474	0.00004169	49.00000000
0.00000000	0.00054578	0.00005678	18.00000000	0.00000000	0.00055769	0.00004148	61.00000000
0.00000000	0.00053906	0.00005658	18.00000000	0.00000000	0.00055073	0.00004126	55.00000000
0.00000000	0.00053243	0.00005639	30.00000000	0.00000000	0.00054386	0.00004106	61.00000000
0.00000000	0.00052589	0.00005620	20.00000000	0.00000000	0.00053709	0.00004087	68.00000000
0.00000000	0.00051945	0.00005602	24.00000000	0.00000000	0.00053040	0.00004068	65.00000000
0.00000000	0.00051309	0.00005585	26.00000000	0.00000000	0.00052381	0.00004049	55.00000000
0.00000000	0.00050681	0.00005569	20.00000000	0.00000000	0.00051730	0.00004032	52.00000000
0.00000000	0.00050062	0.00005553	20.00000000	0.00000000	0.00051088	0.00004015	49.00000000
0.00000000	0.00049452	0.00005537	26.00000000	0.00000000	0.00050454	0.00003998	60.00000000
0.00000000	0.00048850	0.00005523	15.00000000	0.00000000	0.00049829	0.00003983	50.00000000
0.00000000	0.00048256	0.00005508	18.00000000	0.00000000	0.00049212	0.00003967	46.00000000
0.00000000	0.00047670	0.00005494	21.00000000	0.00000000	0.00048604	0.00003953	49.00000000
0.00000000	0.00047092	0.00005481	20.00000000	0.00000000	0.00048003	0.00003938	49.00000000
0.00000000	0.00046522	0.00005468	19.00000000	0.00000000	0.00047411	0.00003925	44.00000000
0.00000000	0.00045960	0.00005456	20.00000000	0.00000000	0.00046826	0.00003912	45.00000000
0.00000000	0.00045405	0.00005444	14.00000000	0.00000000	0.00046250	0.00003899	28.00000000
0.00000000	0.00044858	0.00005432	20.00000000	0.00000000	0.00045680	0.00003887	46.00000000
